Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Nature of the offence, total;Morsø;1369;1404;1451;1259;1248;1208;1272;1267;994;1083;1159;976;992;868
Reported criminal offences;Nature of the offence, total;Rebild;1322;1561;1500;1488;1642;1858;1537;1424;1324;1297;1115;1161;1152;1195
Reported criminal offences;Nature of the offence, total;Thisted;2824;2978;3175;2507;2740;2714;2525;2151;2041;2449;1998;2348;2016;1577
Reported criminal offences;Nature of the offence, total;Vesthimmerlands;2663;3078;2992;2684;2779;2610;2737;2463;2472;2154;2057;1936;1824;1737
Reported criminal offences;Nature of the offence, total;Aalborg;18206;19137;19101;19076;21724;19561;20284;18732;16821;16081;17152;15839;15456;11973
Reported criminal offences;Nature of the offence, total;Unknown municipality;6747;5473;6040;8120;9837;11103;11939;18047;24637;27410;34745;33116;37391;42306
Reported criminal offences;Penal Code, total;Region Hovedstaden;165477;173385;183671;177703;179134;178440;175905;168149;166245;173218;161039;145280;144919;124249
Reported criminal offences;Penal Code, total;Copenhagen;77836;79870;83856;82187;87796;88302;87614;82826;82033;89874;80178;72432;75973;61246
Reported criminal offences;Penal Code, total;Frederiksberg;7740;7565;7995;8481;9422;9540;9310;8811;8261;7838;8126;6643;6565;6455
Reported criminal offences;Penal Code, total;Dragør;608;644;609;625;593;684;525;453;524;512;565;452;561;533
Reported criminal offences;Penal Code, total;Tårnby;4091;4373;4833;4499;4383;4630;4537;4274;6124;4292;4121;3956;4030;2761
Reported criminal offences;Penal Code, total;Albertslund;2550;3015;3046;2853;2513;2402;2498;2247;2147;2317;2034;1853;1873;2732
Reported criminal offences;Penal Code, total;Ballerup;3933;4080;4928;4586;4309;3826;4014;3736;3560;4030;3667;2966;2998;2867
Reported criminal offences;Penal Code, total;Brøndby;2934;3309;3251;3019;2921;2976;2955;3150;2653;3367;3091;2978;2188;1970
Reported criminal offences;Penal Code, total;Gentofte;5361;5170;6303;5901;5539;5840;5445;5526;4974;5545;5898;5270;4835;3894
Reported criminal offences;Penal Code, total;Gladsaxe;4032;4615;5325;4980;4411;4466;4351;4168;4573;4119;3952;3708;3640;3096
Reported criminal offences;Penal Code, total;Glostrup;2411;2560;2716;2380;2143;2367;2225;2241;2360;2545;2237;2315;1956;1814
Reported criminal offences;Penal Code, total;Herlev;2546;2487;2822;2918;2548;2504;2563;2432;2497;2272;2186;2257;2361;2549
Reported criminal offences;Penal Code, total;Hvidovre;5072;4948;5318;5248;4342;4580;4695;4150;3739;3751;4086;3634;3262;3736
Reported criminal offences;Penal Code, total;Høje-Taastrup;3931;4594;4878;4457;3848;3725;3919;3756;4173;4309;3830;3163;3438;3391
Reported criminal offences;Penal Code, total;Ishøj;2311;3015;2668;2326;2005;1937;1966;1728;1860;1654;1555;1702;1521;1358
Reported criminal offences;Penal Code, total;Lyngby-Taarbæk;4813;5001;4706;4954;4573;5019;4664;4851;4967;4516;4515;4660;3824;2999
Reported criminal offences;Penal Code, total;Rødovre;3949;3981;4132;4107;3681;3466;3155;2956;3038;2922;3028;2664;2683;2546
Reported criminal offences;Penal Code, total;Vallensbæk;842;1132;1274;1071;969;1004;939;871;798;744;774;720;729;577
Reported criminal offences;Penal Code, total;Allerød;1295;1509;1384;1497;1502;1694;1499;1353;1304;1676;1181;1151;1040;806
Reported criminal offences;Penal Code, total;Egedal;2003;2140;2513;2356;2075;1919;1864;1825;1712;1791;1584;1514;1257;1242
Reported criminal offences;Penal Code, total;Fredensborg;2307;2359;2867;2616;2380;2558;2492;2592;2237;1897;1700;1550;1326;1300
Reported criminal offences;Penal Code, total;Frederikssund;3005;3151;2915;2631;2381;2508;2917;2629;2383;2398;2334;2076;2099;2026
Reported criminal offences;Penal Code, total;Furesø;2356;2556;2862;3099;2703;2302;2357;2376;2157;2432;2159;1877;1695;1478
Reported criminal offences;Penal Code, total;Gribskov;2045;2485;2837;2537;2278;2266;2209;2703;2690;2313;2216;1935;1959;1609
Reported criminal offences;Penal Code, total;Halsnæs;2045;2271;2240;2266;2317;2376;2122;2031;1495;1784;2144;1442;1543;1321
