Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Syddanmark;Threats;930;900;961;1008;1016;895;744;777;730;965;1061;1115;1382;1270
Reported criminal offences;Region Syddanmark;Offences against property, total;84217;92243;94512;89281;84700;75175;71254;68393;59776;57008;55827;51989;49298;43474
Reported criminal offences;Region Syddanmark;Forgery;312;274;293;265;317;273;440;315;247;328;316;281;316;453
Reported criminal offences;Region Syddanmark;Cheque forgery;93;99;109;46;28;47;14;26;1;2;0;0;0;0
Reported criminal offences;Region Syddanmark;Arson;192;157;119;122;130;127;153;120;117;129;139;202;217;217
Reported criminal offences;Region Syddanmark;Burglary - business and community;5912;7756;8591;7655;6127;5048;4397;3713;3343;3383;2984;3661;2960;2482
Reported criminal offences;Region Syddanmark;Residential burglaries;7602;10260;10958;9636;9564;9598;9264;8398;7298;6670;5999;6740;5580;3650
Reported criminal offences;Region Syddanmark;Burglary (uninhabited buildings);2963;3404;4189;3994;4002;2940;2809;2769;2737;2278;2315;2697;2351;2308
Reported criminal offences;Region Syddanmark;Theft from conveyances;10837;9747;9650;8652;7938;5657;5037;4639;3641;3114;3428;2951;2630;2670
Reported criminal offences;Region Syddanmark;Shoplifting, etc.;3602;3702;3821;3791;3734;3817;3658;3860;3302;3105;2939;2926;3094;3018
