Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Penal Code, total;Varde;394;434;472;547;603;547;516;493;531;436;525;711;919;519
Charge;Penal Code, total;Vejen;511;412;378;506;631;560;885;560;544;484;418;366;337;357
Charge;Penal Code, total;Vejle;1073;1048;1291;1474;1719;1612;1541;1587;1685;1280;1347;1485;1874;1379
Charge;Penal Code, total;Aabenraa;927;911;1035;1010;1164;974;840;1190;824;1156;892;910;809;917
Charge;Penal Code, total;Favrskov;339;316;307;347;360;352;279;322;267;330;1324;343;353;540
Charge;Penal Code, total;Hedensted;362;285;290;320;385;376;380;287;270;348;312;420;371;387
Charge;Penal Code, total;Horsens;1233;1020;1156;1302;1854;1299;1374;1140;1135;888;1162;1462;1412;1327
Charge;Penal Code, total;Norddjurs;558;513;486;519;432;404;388;422;473;728;295;510;533;494
Charge;Penal Code, total;Odder;117;130;149;140;151;112;119;149;111;117;125;135;133;164
Charge;Penal Code, total;Randers;1361;1306;1510;1627;1473;1468;1505;1287;1213;2707;1507;1139;2003;1719
Charge;Penal Code, total;Samsø;18;25;16;35;31;17;16;25;22;44;13;16;27;27
Charge;Penal Code, total;Silkeborg;746;812;924;992;998;1048;940;863;743;767;866;993;972;1079
Charge;Penal Code, total;Skanderborg;485;386;484;394;493;522;524;492;406;397;401;303;482;296
Charge;Penal Code, total;Syddjurs;361;356;346;440;392;360;374;276;300;276;525;359;251;560
Charge;Penal Code, total;Aarhus;4793;4745;4541;4730;4822;5092;4796;6367;5147;6177;5119;5596;4799;6423
Charge;Penal Code, total;Herning;845;875;1094;881;920;1032;895;863;1031;1036;1107;1480;1636;1657
Charge;Penal Code, total;Holstebro;596;612;633;678;718;770;762;628;688;518;1484;851;1276;897
Charge;Penal Code, total;Ikast-Brande;287;321;352;423;464;475;361;338;265;380;358;427;611;608
Charge;Penal Code, total;Lemvig;147;128;111;120;139;165;130;129;112;102;104;167;153;190
Charge;Penal Code, total;Ringkøbing-Skjern;461;481;446;502;528;486;411;438;381;514;523;397;348;466
Charge;Penal Code, total;Skive;514;586;447;430;543;530;563;424;562;470;448;495;771;563
Charge;Penal Code, total;Struer;191;228;239;201;191;180;189;207;225;227;262;190;491;287
Charge;Penal Code, total;Viborg;886;927;863;950;978;1055;836;1136;888;1122;1155;1713;1200;1250
Charge;Penal Code, total;Brønderslev;368;301;274;324;408;335;393;458;299;333;283;412;276;359
Charge;Penal Code, total;Frederikshavn;644;602;805;682;817;659;607;560;651;975;964;1807;708;742
Charge;Penal Code, total;Hjørring;971;745;771;816;814;766;623;775;929;1147;1308;889;687;591
Charge;Penal Code, total;Jammerbugt;248;321;386;353;390;324;317;321;394;445;259;314;345;393
Charge;Penal Code, total;Læsø;5;2;13;18;8;21;19;24;13;6;2;7;16;3
